title,company,location,description,description_length
Ingénieur en Sécurité Incendie - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Ingénieur en Sécurité Incendie. Missions principales Réaliser les études de sécurité incendie pour projets industriels, tertiaires et infrastructures. Établir les scénarios d’incendie et dimensionner les systèmes de détection, extinction et désenfumage. Rédiger les dossiers techniques (APS, APD, DCE) intégrant les prescriptions incendie. Vérifier la conformité aux normes NFPA, FM Global, APSAD, et aux réglementations marocaines. Assurer la coordination avec les autres disciplines (électricité, GC, HVAC).",542
Projeteur en Charpente Métallique - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Projeteur en Charpente Métallique. Missions principales Réaliser les plans d’ensemble et de détail en charpente métallique. Préparer les plans de fabrication et de montage. Assurer la compatibilité des plans avec les autres corps d’état (GC, mécanique, fluides). Collaborer étroitement avec les ingénieurs structures pour intégrer les notes de calcul. Vérifier la conformité aux normes de dessin industriel et aux standards de sécurité.",469
Chef de Projet Génie Civil - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Chef de Projet Génie Civil. Missions : Superviser les études et travaux de génie civil (bâtiments, infrastructures industrielles, ouvrages spéciaux). Assurer la gestion contractuelle et technique du lot GC. Coordonner les interfaces entre disciplines (structure, charpente métallique, fluides, électricité). Mettre en place et suivre les contrôles qualité et HSE. Assurer le suivi des chantiers et la validation des attachements/métrés.",469
Chef de Projet Mécanique - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Chef de Projet Mécanique. Missions : Piloter les études et travaux mécaniques sur des projets industriels (mines, pétrochimie, énergie, infrastructures). Assurer la coordination entre les équipes internes (ingénieurs, projeteurs, techniciens) et les sous-traitants. Élaborer et suivre le planning des livrables. Garantir le respect des normes de sécurité, qualité et environnement. Animer les réunions de coordination et rédiger les comptes rendus. Suivre le budget du lot mécanique et établir les reportings périodiques au client.",564
Ingénieur Spécialisé en Instrumentation et Systèmes de Contrôle - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Ingénieur Spécialisé en Instrumentation et Systèmes de Contrôle. Rattaché au pôle ingénierie, l’ingénieur interviendra sur des projets industriels et énergétiques, notamment durant les phases d’études et de conception : Réalisation des études d’ingénierie en instrumentation et contrôle-commande Élaboration des philosophies de contrôle, architectures systèmes et listes d’instruments Définition des instruments de mesure (pression, débit, niveau, température, analyse) Rédaction des spécifications techniques, datasheets et notes de calcul Développement des schémas de boucles, P&ID, interconnexions et armoires de contrôle Participation aux revues...",685
Contrôleur de Gestion - Casablanca,GROUPE MCE,Casablanca-Mohammedia,"Dans le cadre de son développement, nous recherchons un Contrôleur de Gestion ayant une expérience confirmée dans le secteur de l’intérim. Missions principales : Suivre et analyser les performances financières Élaborer et suivre les budgets et prévisions Mettre en place des outils de contrôle et de reporting Analyser les écarts et proposer des actions correctives Accompagner la prise de décision stratégique",410
Agent SIAP  - Casablanca,GROUPE MCE,Casablanca-Mohammedia,Nous sommes à la recherche d'un  Agent SIAP. Missions principales : Assurer la sécurité des personnes et des biens sur le site Veiller au respect des consignes de sécurité incendie Prévenir les risques et intervenir en cas d’incident Contrôler l’accès aux locaux et gérer les entrées/sorties Assister et guider le public en cas d’urgence,337
Chef d´Équipe - Casablanca,COLORADO,Casablanca-Mohammedia,"Nou sommes à la recherche d'un  Chef d'Équipe. Rattaché au pôle industriel et technique,   vos missions sont les suivantes : Exécuter les programmes de production ; Respecter les processus en vigueur ; Contrôler les produits conditionnés avant leur transfert au magasin produits finis ; Jouer un rôle actif dans la lutte contre les incendies; Gérer des équipes opérationnelles ; Organiser les postes de travail.",411
Assistante Administrative - Casablanca,,Casablanca-Mohammedia,"Une entreprise leader dans son secteur, recrute une  Assistante Administrative à Casablanca . Vos responsabilités sont les suivantes : Assurer l'accueil physique et téléphonique des interlocuteurs internes et externes; Assurer les prises de rendez-vous; Traiter le courrier postal et électronique ainsi que les appels téléphoniques; Suivre la circulation des parapheurs; Gérer les agendas électroniques et contrôler les échéances; Saisir, mettre en forme des documents divers (courriers, mails, rapports ….), les reproduire et les diffuser; Répondre aux demandes d'informations des autres services et de l'extérieur; Organiser les réunions et leurs logistiques, rédiger les relevés de décisions;...",698
Téléconseiller en Réception d’Appels - Casablanca,TECTRA CASA TERTIAIRE – RECRUTEMENT,Casablanca-Mohammedia,"Offre d’emploi : Téléconseiller en Réception d’Appels (H/F). Localisation : Sidi Maârouf – Casablanca TECTRA recrute des Téléconseillers en réception d’appels pour le compte de son client basé à Casablanca. Ce poste constitue une opportunité idéale pour les profils débutants souhaitant intégrer le monde professionnel et développer une première expérience en relation client. Une formation rémunérée est assurée au démarrage afin de vous accompagner dans la prise de poste. Vous serez formé(e) aux outils, aux procédures internes ainsi qu’aux techniques de gestion des appels. Missions principales : Réception des appels entrants Ouverture et suivi des dossiers clients Traitement des...",688
